,business_id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories
81,B5EZlEDH6AVDk8tQGHAGqg,"""Villa Tap""",Sherman,"""2302 Packers Ave""",Madison,WI,53704,43.1233893,-89.3553901,4.0,34,1,American (Traditional);Nightlife;Dive Bars;Restaurants;Bars
96,dTWfATVrBfKj7Vdn0qWVWg,"""Flavor Cuisine""",Scarborough,"""8 Glen Watford Drive""",Toronto,ON,M1S 2C1,43.7870613,-79.2761657,3.0,6,1,Restaurants;Chinese;Food Court
113,sJ0MYSAIVK28cMzh-s-NPA,"""Amaya Express""",Downtown Core,"""Eaton Centre, 220 Yonge St""",Toronto,ON,M5B 2L7,43.6540667,-79.3800815,2.5,34,1,Indian;Restaurants;Fast Food
116,gIVjdDWRnS1yDVpPF3oUeg,"""Pizza Pizza""",Milliken,"""7665 Kennedy Road""",Markham,ON,L3R 0L7,43.841217,-79.303936,4.0,8,1,Italian;Chicken Wings;Fast Food;Restaurants;Pizza
122,Wpt0sFHcPtV5MO9He7yMKQ,"""McDonald's""",Eastside,"""3020 E Desert Inn Rd""",Las Vegas,NV,89121,36.1300128,-115.10931,2.0,20,1,Restaurants;Fast Food;Burgers
126,WUiDaFQRZ8wKYGLvmjFjAw,"""China Buffet""",University City,"""8630 University Executive Park Dr""",Charlotte,NC,28262,35.306173,-80.752672,3.5,76,1,Buffets;Restaurants;Sushi Bars;Chinese
127,nAFI7JZEhmvUKMKSA_5Chg,"""Nesenbach""",Rathaus,"""Dorotheenstr. 6""",Stuttgart,BW,70173,48.7754525455,9.1807370248,2.5,7,1,Cafes;Nightlife;Wine Bars;Bars;Restaurants
128,5q6Xh-UcJa78bp6dzyaE7w,"""Duck Donuts""",Dilworth,"""1710 Kenilworth Ave, Ste 220""",Charlotte,NC,28203,35.2026242,-80.8444191,4.5,373,1,Breakfast & Brunch;Food;Coffee & Tea;Donuts;Restaurants
133,W1Yr6c2XDx_RBjb6WsV-aQ,"""Divine Cafe at the Springs Preserve""",Westside,"""333 S Valley View Blvd""",Las Vegas,NV,89152,36.1707064994,-115.190288481,4.0,140,1,Restaurants;Cafes;American (New);Bars;Nightlife;Wine Bars
135,SJAggfn8ta7XLD98XD2mkw,"""QDC Burger""",Saint-Laurent,"""975 Boulevard Roméo-Vachon Nord""",Dorval,QC,H4Y 1H1,45.4572636735,-73.7515835661,3.0,11,1,Burgers;Fast Food;Restaurants
146,-McKyjNSqS1h9dDJH3dyUA,"""Restaurant Plenum""",Oberer Schlossgarten,"""Konrad-Adenauer-Str. 3""",Stuttgart,BW,70173,48.7787468,9.1835106,3.5,15,1,Restaurants;Coffee & Tea;Cafes;German;Food
154,JmKgz6n7zn24F-WkgT-kiA,"""Maki My Way""",St. Lawrence,"""7 King Street E""",Toronto,ON,M5C 3C5,43.6491517002,-79.3774947524,4.5,7,1,Restaurants;Sushi Bars;Japanese;Asian Fusion
172,UlI0TksGFiIXtcbtg2KalQ,"""Mi Pho Song Vu""",Downsview,"""2109 Jane Street""",North York,ON,M3M 1A2,43.7184236,-79.5079286,2.5,38,1,Restaurants;Thai;Vietnamese;Chinese
178,mLP-jIIRdoaYM7fJqqFurw,"""Napoli Pizzeria""",Squirrel Hill,"""2006 Murray Ave""",Pittsburgh,PA,15217,40.434399,-79.9229828,4.0,53,1,Italian;Pizza;Restaurants;Salad
181,t8yi2l7pZF43Rlf9_lHdDA,"""Hero Certified Burgers - King & Yonge""",Downtown Core,"""79A Yonge Street""",Toronto,ON,M5C 1S8,43.6495217,-79.3779103,2.5,29,1,Burgers;Restaurants
184,5GAXZ7gJ81TSR0-Q6AMp_A,"""Via Panini""",Edgeley,"""90 Edgeley Boulevard""",Vaughan,ON,L4K 5C7,43.7964604062,-79.5332054719,4.0,7,1,Italian;Restaurants
218,NOHh2pgOTUBqp82IQlRQMQ,"""Panagio's All Day Grill""",Scarborough,"""1928 McCowan Road""",Scarborough,ON,M1S 4K1,43.7929785,-79.2602761,3.5,110,1,Canadian (New);Restaurants;Breakfast & Brunch
228,aD4qhONCE5catMdQC4sqwg,"""Reginos Pizza""",Upper Beach,"""3331 Danforth Avenue""",Scarborough,ON,M1L 1C5,43.6868362415,-79.2938377817,3.5,10,1,Restaurants;Pizza
248,Rh2smrKvcamnP8VBUgMI0Q,"""Dim Sum King Seafood Restaurant""",Chinatown,"""421 Dundas St W, 3rd Fl""",Toronto,ON,M5T 1G6,43.653324,-79.395372,3.5,165,1,Chinese;Restaurants;Dim Sum
250,O_UC_izJXcAmkm6HlEyGSA,"""Playa Cabana""",The Annex,"""111 Dupont Street""",Toronto,ON,M5R 1V4,43.6759577693,-79.4011840224,4.0,363,1,Mexican;Restaurants;Nightlife;Bars
261,ww_MXl-qDLeYdYTZZ9KWbA,"""Pho Linh""",Brockton Village,"""1156 College Street W""",Toronto,ON,M6H 1B6,43.652368,-79.4340771,4.0,162,1,Vietnamese;Restaurants
268,lBNPDcSvmUbq7W69HvmRTA,"""Pizza Hut""",Etna,"""550 Butler St""",Etna,PA,15223,40.500796,-79.943429,1.5,15,1,Italian;Pizza;Chicken Wings;Restaurants
274,dPxZI9lrKTl5dvFfnb1_Ig,"""Trattoria Italia""",Anthem,"""9905 S Eastern Ave, Ste 140""",Las Vegas,NV,89183,36.0100856,-115.1186563,4.5,210,1,Seafood;Italian;Pizza;Restaurants
293,fUOY7g6JcO0m3iZNfK0O0g,"""Injapan""",Liberty Village,"""124 Atlantic Avenue""",Toronto,ON,M6K 1X9,43.6397312,-79.4212973,3.0,32,1,Restaurants;Japanese;Sushi Bars
309,YgPz8vB7tw1B61qi_NLP9w,"""Kesté""",Plateau-Mont-Royal,"""275 Avenue Fairmount O""",Montréal,QC,H2V 0A1,45.5209077,-73.5974472,4.0,18,1,Italian;Restaurants
322,VGRn5KgYKMkqdIKtBUzQQA,"""Wahlburgers""",Gateway District,"""2105 Ontario St""",Cleveland,OH,44115,41.497812,-81.691629,3.0,100,1,American (Traditional);Burgers;Restaurants
327,WO5uv-M-u5AG24PiRLYnZA,"""La Citronnelle""",Ahuntsic-Cartierville,"""1386 Rue Fleury E""",Montréal,QC,H2C 1R4,45.560843,-73.657388,4.0,7,1,Chinese;Restaurants;Vietnamese;Asian Fusion
330,1P1YZZl9HXSYeSJR6cjf_Q,"""Thai Express""",Thornhill Woods,"""Rutherford Market Place, 9342 Bathurst Street""",Vaughan,ON,L6A 4N9,43.8468427,-79.4585966,3.0,12,1,Restaurants;Thai
332,j37Z4LIXTH9j6KOq9aX8DQ,"""Beer Emporium""",East Liberty,"""302 S Saint Clair St""",Pittsburgh,PA,15206,40.4599557,-79.930726,3.5,169,1,Beer;Wine & Spirits;American (New);Restaurants;Nightlife;Food;Bars;Belgian;Sandwiches;Pubs
374,XjbPr3o-YTsticeavLjTEg,"""Hooters""",Ville-Marie,"""1433 Rue Crescent""",Montréal,QC,H3G 2B2,45.497981,-73.57722,2.0,20,1,Barbeque;Sports Bars;Restaurants;Nightlife;Bars;Chicken Wings
380,inaACfObL1NBNJmBG11iuQ,"""Global Deli""",Grassmarket,"""13 George IV Bridge, Old Town""",Edinburgh,EDH,EH1 1EE,55.9479597,-3.1921432,4.0,13,1,Restaurants;Food;Sandwiches;Coffee & Tea;Delis
394,575BoZY8tDPcfSRcdsUNLw,"""Eat'n Park""",Banksville,"""1250 Banksville Rd""",Pittsburgh,PA,15216,40.4167567,-80.0303278,3.0,42,1,American (New);American (Traditional);Restaurants;Breakfast & Brunch;Diners
395,QAXFmt__jImnIEvhAVZsJA,"""Boston Pizza""",LaSalle,"""6857 Boulevard Newman""",Lasalle,QC,H8N 3E4,45.4486301,-73.6087194,2.0,17,1,Restaurants;Pizza
397,Di5ApLgoQpcv5Aew82fI_A,"""The Rendezvous""",West End,"""10 Queensferry Street""",Edinburgh,EDH,EH2 4PG,55.9505495,-3.2094542,3.5,19,1,Restaurants;Cantonese;Chinese
404,3N5bwNdig7uRddd3kozENA,"""Popeyes Louisiana Kitchen""",Church-Wellesley Village,"""589 Yonge Street""",Toronto,ON,M4Y 1Z4,43.6660486,-79.3848505,2.5,17,1,Chicken Wings;Fast Food;Restaurants
420,OvbLKXkJCg8ZMHX9L5faIA,"""Bread Meats Bread""",West End,"""92 Lothian Road""",Edinburgh,EDH,EH3 9BE,55.9463897672,-3.2058293601,4.0,28,1,Burgers;Restaurants
440,HVd718KlG6VdY5oh5LH7mQ,"""Restaurant Xi'An Lina Tang""",Ville-Marie,"""1051 Boulevard Saint-Laurent""",Montréal,QC,H2X 1P4,45.5082486,-73.5599432,3.0,7,1,Chinese;Restaurants
446,T2jfXhvQPk9wLdt1OVV-Kg,"""Rose Street Brewery""",New Town,"""55-57 Rose Street""",Edinburgh,EDH,EH2 2NH,55.9528352279,-3.1985596159,3.0,24,1,Pubs;Whiskey Bars;Nightlife;Breakfast & Brunch;Restaurants;Bars
471,ugdUuApH3pYXggW5qpbALg,"""Mr. Torta's""",Elvehjem,"""4527 Cottage Grove Rd""",Madison,WI,53716,43.083976745,-89.3033632212,3.5,19,1,Restaurants;Mexican;Latin American
475,DkBer3JjUGfKEsZCLtfgvA,"""Crave Healthy Habits""",Financial District,"""TD Centre Food Hall, 100 Wellington Street W""",Toronto,ON,M5K 1A1,43.6471768,-79.3815764,4.0,11,1,Salad;Restaurants;Vegetarian;Gluten-Free
484,0RrHQNdsMK3jPlK4f9_wWA,"""Presse Café""",Ville-Marie,"""800 St Catherine E""",Montréal,QC,H2L 2E3,45.515484,-73.5586047,2.5,10,1,Sandwiches;Food;Restaurants;Coffee & Tea;Breakfast & Brunch
497,EgGdnaotJpPvxCFyZPJeUw,"""Pizza Hut""",Northwest,"""4945 W. Craig Road""",Las Vegas,NV,89130,36.238059,-115.210341,2.0,13,1,Restaurants;Pizza
522,lrm8hNDtwd5Wd0tVjOgCyw,"""Ithaca Restaurant""",Unionville,"""5308 Hwy 7 E""",Markham,ON,L3P,43.8685158,-79.282552,3.5,55,1,Greek;Restaurants;Mediterranean
535,03bL5yYHb-chhJwyeSAkfQ,"""Student Tasty Biryani""",Ville-Marie,"""1620 Avenue Lincoln""",Montréal,QC,H3H 2T5,45.4958037,-73.5804942,4.0,19,1,Indian;Restaurants;Pakistani
538,AfL8Ds7ex73tfVbq3EFWKg,"""Baja Fresh""",Westside,"""8780 W Charleston Blvd, Ste 100""",Las Vegas,NV,89117,36.1594825,-115.2874508,5.0,6,1,Restaurants;Mexican
539,k-6pef2sjWEyyBqgTAQcRA,"""Coffee Culture""",Maple,"""10037 Keele Street""",Vaughan,ON,L6A 3Y8,43.8557999,-79.512148,3.5,29,1,Breakfast & Brunch;Coffee & Tea;Restaurants;Food
608,FuO6d7IR1ee-3Bfo-gu1HQ,"""Imperial Buffet""",Dixie,"""3120 Dixie Road""",Mississauga,ON,L4Y 2A6,43.6105822,-79.5878496,3.0,58,1,Restaurants;Buffets
621,WMj5Uj04pAqFxLMnJQcQqw,"""Panda Express""",The Strip,"""3355 Las Vegas Blvd S""",Las Vegas,NV,89109,36.1220839,-115.1680316,2.5,61,1,Restaurants;Fast Food;Chinese
669,IfUkm42SB9D0m_ZbkQ711A,"""The Fish Store & Sandwiches""",Little Italy,"""657 College Street""",Toronto,ON,M6G 1B7,43.6549209,-79.4163139,4.0,138,1,Restaurants;Seafood;Sandwiches
672,7U23rwCmVWasFQ0cHRMYVw,"""China 8""",Erin Mills,"""5602 Tenth Line W, Unit 110""",Mississauga,ON,L5M 5S5,43.5589212189,-79.742916216,3.0,14,1,Chinese;Thai;Food;Restaurants;Vietnamese
675,sUMi2q41l4AzOsmJMRY8zQ,"""Del Mar Deli""",Southeast,"""9777 Las Vegas Blvd S""",Las Vegas,NV,89183,36.0115411891,-115.175896473,3.5,119,1,Delis;Sandwiches;Restaurants;Breakfast & Brunch
691,_ewxwEwJM-IYfIYnKpQOZw,"""Mexicali Raspados""",Eastside,"""4865 S Pecos Rd""",Las Vegas,NV,89121,36.1006883,-115.1010833,4.5,47,1,Restaurants;Ice Cream & Frozen Yogurt;Shaved Ice;Hot Dogs;Food
694,sKIAHIGW0viQGFAMGgQ3Rg,"""Sushi Mugen""",Leslieville,"""1105 Queen Street E""",Toronto,ON,M4M 1K7,43.6620334719,-79.335608385,4.5,6,1,Sushi Bars;Japanese;Restaurants
697,nsoSw8B3teY2FGAEPfiVfA,"""Choi's Kitchen""",Etobicoke,"""3369 Bloor Street W""",Toronto,ON,M8X 1G2,43.6445955,-79.5226903,4.0,6,1,Restaurants;Chicken Wings;Chicken Shop
700,qLCrPakPU9uArigtDu-KiQ,"""Uncle Mikey's""",Brockton Village,"""1597 Dundas Street W""",Toronto,ON,M6K 1T9,43.6496731,-79.4348818,5.0,11,1,Korean;Canadian (New);Restaurants;Tapas Bars
725,t2GtB-aiOzrNnuGxZV190g,"""Diamond Pizza""",East York,"""510 Main Street""",Toronto,ON,M4C 4Y2,43.6947165,-79.3048792,2.0,13,1,Pizza;Restaurants
729,J9f-9Prw2YVM-fiZqv2fmQ,"""Original Hot Dog Shop""",Oakland,"""3901 Forbes Ave""",Pittsburgh,PA,15213,40.442147,-79.956513,3.5,210,1,Hot Dogs;Restaurants;Pizza;Burgers
776,wtazPNyIbsRMHmrpEYbqZA,"""Golden Krust Caribbean Bakery & Grill""",University City,"""440 E McCullough Dr, Ste 126""",Charlotte,NC,28262,35.302143,-80.7477477,3.0,38,1,Food;Restaurants;Caribbean;Bakeries
778,v0byOL8VL6v6muGa1anxFA,"""The Hummus Factory""",Westside,"""7875 W Sahara Ave, Ste 101""",Las Vegas,NV,89117,36.1432041,-115.262866,4.5,214,1,Event Planning & Services;Caterers;Burgers;Greek;Restaurants;Middle Eastern;Mediterranean
789,aNe8ofTYrealxqv7VtFTuw,"""Sierra Gold""",Spring Valley,"""6515 S Jones Blvd""",Las Vegas,NV,89118,36.0703249,-115.2249525,3.5,215,1,American (New);Restaurants;Pubs;Nightlife;Sports Bars;Bars;Food;Pizza;Breweries
792,lHyTZFd8XXtvPwo-_qeTXA,"""Jersey Mike's Subs""",Anthem,"""10520 South Eastern""",Henderson,NV,89052,36.0005078,-115.105592,3.5,33,1,Fast Food;Delis;Restaurants;Sandwiches
801,PgJgpW4TKQ8IoALH2Yq-zA,"""Bayside Buffet at Mandalay Bay""",The Strip,"""3950 S Las Vegas Blvd""",Las Vegas,NV,89109,36.0912192601,-115.1758039,3.0,1033,1,Arts & Entertainment;Restaurants;Buffets;American (Traditional);Casinos
820,kyphxFtMIC6w7ktg-fwxWA,"""Panera Bread""",University,"""11490 Euclid Ave""",Cleveland,OH,44106,41.509763,-81.603852,2.0,41,1,Food;Salad;Sandwiches;Restaurants;Breakfast & Brunch;Bagels;Soup
826,5vgieFiCubi43G6ciiFhNQ,"""CC Lounge & Whisky Bar""",St. Lawrence,"""45 Front Street E""",Toronto,ON,M5E 1B3,43.6479658,-79.3745153,4.5,53,1,Restaurants;Whiskey Bars;Nightlife;Bars;American (Traditional);Cocktail Bars;Dance Clubs;Lounges
841,9L8UgjIvLfwylrFacB2HuA,"""Café Holts""",Ville-Marie,"""1300 Sherbrooke Street West""",Montréal,QC,H3G 1H9,45.499329,-73.578529,4.0,15,1,Restaurants;Canadian (New);American (New);Cafes;French
853,x1IPOlH_O5D3qZdZo6YyEA,"""Florentia""",Mount Pleasant and Davisville,"""579 Mount Pleasant Road""",Toronto,ON,M4S 2M5,43.7035596,-79.3879764,3.5,17,1,Restaurants;Italian
857,hJX8WoV-KbFVHojZ6i83Cg,"""Quiznos""",Downtown,"""901 S Rancho Dr""",Las Vegas,NV,89106,36.1604805,-115.17233,3.5,17,1,Sandwiches;Fast Food;Restaurants;Delis
858,om4t1hDJRQqTRS9VT7ADhA,"""Q Tavern""",Uptown,"""201 S McDowell St""",Charlotte,NC,28204,35.2189223729,-80.8361534402,3.0,27,1,Nightlife;Restaurants;Southern;Gastropubs;Bars;Pubs
862,gwYt_q3Ob7aQJIefIBsZiQ,"""Raising Cane's""",Spring Valley,"""7135 S Rainbow Blvd""",Las Vegas,NV,89118,36.058716,-115.2433571,4.0,264,1,Fast Food;Chicken Shop;American (Traditional);Chicken Wings;Restaurants
872,1W_gZM_uuEvJqapbIl6z9Q,"""El Charro""",Cabbagetown,"""582 Parliament Street""",Toronto,ON,M4X 1P8,43.6677846,-79.3697286,4.5,31,1,Restaurants;Food Stands;Street Vendors;Food;Mexican
877,xfbjRpE3yhRQ9Zw-D_mBgQ,"""Nunu Ethiopian Fusion""",Beaconsfield Village,"""1178 Queen Street W""",Toronto,ON,M6J 2J5,43.642969,-79.4257048,4.0,70,1,Restaurants;Ethiopian
887,rwKSKNRKXVERaltnjVltEA,"""Arcade Pizza""",North Broadway,"""5319 Broadway Ave""",Cleveland,OH,44127,41.4688917,-81.6527921,3.5,18,1,Pizza;Fast Food;Restaurants
896,lxZoKGTQvsTFrahsYrPFKQ,"""Quik Chik""",Mississauga Valley,"""3355 Hurontario Street, Unit 1-2""",Mississauga,ON,L5A 4E7,43.587621,-79.626502,3.5,19,1,Restaurants;Chicken Wings
913,bAdwf-n52f46-ZjlfJ1Hwg,"""Roberto's Taco Shop""",Centennial,"""7251 W Azure Dr""",Las Vegas,NV,89130,36.2730147,-115.2518622,2.5,26,1,Fast Food;Mexican;Restaurants
916,ijg7qQCYnhUWBd5JUxbfvA,"""Roxy's Diner""",The Strip,"""2000 Las Vegas Blvd S""",Las Vegas,NV,89104,36.1477095179,-115.155205876,3.0,357,1,Restaurants;Burgers;Breakfast & Brunch;Diners;Food;Desserts
931,2WiuLnyR8UWXjYQKgKBjkg,"""Narula's""",Hanlan,"""6435 Dixie Road, Suite 10""",Mississauga,ON,L5T,43.66462,-79.65855,3.5,15,1,Indian;Barbeque;Fast Food;Restaurants
944,vZbcZDWqIvHmUtS3Pky1tA,"""Edo Japon""",Ville-Marie,"""705 Rue Sainte-Catherine O""",Montréal,QC,H3B 4G5,45.5027545,-73.5714715,4.5,7,1,Restaurants
977,PYg9hhTfuE1HMwzXCAl1Hg,"""Tiffany Thaistyle""",Rathaus,"""Schulstr. 10 A""",Stuttgart,BW,70173,48.77589,9.17722,3.5,28,1,Restaurants;Thai
979,u-SvRRAfYgpbXZRfQgcTzA,"""Imadake""",Ville-Marie,"""4006 Rue Sainte-Catherine O""",Montréal,QC,H3Z 1P2,45.488795,-73.584954,4.0,231,1,Nightlife;Pubs;French;Bars;Japanese;Restaurants
992,HIvLwkEYuGRtI17H2x7RuQ,"""Bold Food & Drink""",East Bank,"""1121 W 10th St""",Cleveland,OH,44113,41.5006258,-81.7043299,4.0,114,1,American (New);Nightlife;Restaurants;Bars
996,irQ0cNh04sg90B1NN-ekDA,"""Diva""",Edgeley,"""167 Applewood Crescent, Suite 1""",Vaughan,ON,L4K 4K7,43.8079673,-79.5341753,4.0,13,1,Breakfast & Brunch;Burgers;Restaurants;Salad;Sandwiches
998,RjZP38S11LqnPcoMxHESug,"""Burro Burrito""",Entertainment District,"""388 Richmond Street W""",Toronto,ON,M5V 3P1,43.6481029,-79.394857,4.0,38,1,Restaurants;Mexican
1024,ZPZYNq9fNu2GyeCSz7U-fg,"""Five Star Tavern""",Sunrise,"""4220 E Charleston Blvd""",Las Vegas,NV,89104,36.1590151,-115.0850773,3.0,6,1,Bars;Casinos;American (New);Arts & Entertainment;Restaurants;Nightlife
1029,S68q2ejdupCsFOPQ-oRDmQ,"""Taza Xpress""",Erin Mills,"""2911 Eglinton Avenue W, Unit D3""",Mississauga,ON,L5M 6J3,43.551131,-79.715957,4.0,22,1,Middle Eastern;Egyptian;Sandwiches;Restaurants;Salad
1034,hPTx2Y5e4Czbr21XcbDN8g,"""Mei Nung Beef Noodle House""",Brown's Corners,"""3229 Highway 7 E, Unit 15""",Markham,ON,L3R 3P3,43.851504,-79.351891,4.0,196,1,Restaurants;Chinese;Taiwanese
1039,nA4jm1nIdSXZTKd5TYH79A,"""The Works Gourmet Burger Bistro""",Swansea,"""2245 Bloor Street W""",Toronto,ON,M6S 1N6,43.6507359,-79.4774407,3.5,58,1,Burgers;Restaurants
1040,57nuqvG7IYS58-WAalEH3w,"""Sushi Shop""",Ville-Marie,"""915 De Maisonneuve Boul W""",Montréal,QC,H3A 0A5,45.5024719,-73.5731847,2.0,7,1,Restaurants;Sushi Bars
1041,6wZdg1ursk12C3CTnF0gcg,"""Ruby's Mediterranean Cuisine""",Scarborough,"""1 Eglinton Square""",Scarborough,ON,M1L 2K1,43.7240525,-79.3011688,4.5,21,1,Middle Eastern;Restaurants
1048,UqcK-YuHPzcWQtNjmhTb7g,"""The Other Place""",Cannonmills,"""2-4 Broughton Road""",Edinburgh,EDH,EH7 4EB,55.9625207664,-3.1963183378,3.5,22,1,Restaurants;Brasseries;Pubs;Nightlife;Bars;Gastropubs;Scottish
1058,XBDe0pFAw1B32tpAQN5t2g,"""holts café""",Yorkville,"""50 Bloor Street West, Fl 2""",Toronto,ON,M4W 1A1,43.6703401,-79.3882622,3.5,38,1,Cafes;Breakfast & Brunch;Restaurants
1064,nF5TXLMmC6IJgQxE9CEZPw,"""Sun Penang""",Squirrel Hill,"""5829 Forbes Ave""",Pittsburgh,PA,15217,40.4382561,-79.9218667,3.0,148,1,Malaysian;Restaurants
1093,AYe8rS3qBPuLHSwNOZSbcA,"""Sushi Loca""",South Summerlin,"""10965 Lavender Hill Dr""",Las Vegas,NV,89135,36.1450494098,-115.332824471,3.0,229,1,Food;Sushi Bars;Restaurants
1103,5_MrPFw9E0cMJ1Q0DJFZOQ,"""Tilted Kilt Pub & Eatery""",The Strip,"""3545 Las Vegas Blvd, Unit L-26""",Las Vegas,NV,89109,36.1173843209,-115.170322225,3.0,288,1,Pubs;Sports Bars;Bars;Restaurants;Nightlife;American (Traditional)
1104,KPsu_1Q9XYRKWs_ZBTtlTg,"""Sky Lounge""",The Strip,"""3745 S Las Vegas Blvd""",Las Vegas,NV,89109,36.1065949,-115.1709543,2.5,6,1,Bars;Pizza;Lounges;Restaurants;Nightlife
1109,tSbs8i_9Hlaommupjgn63Q,"""Panda Express""",Sunrise,"""4416 E Bonanza Blvd""",Las Vegas,NV,89110,36.1739844,-115.0797206,3.0,14,1,Chinese;Fast Food;Restaurants
1116,GyJv9dkd5nmpgSSJgDtsnQ,"""KFC""",Etobicoke,"""156 The Queensway""",Etobicoke,ON,M8Y 1J2,43.6302378,-79.4847082,2.0,6,1,Restaurants;Chicken Wings;Fast Food
1128,bu4hyEunQWhCrNDwpb1Nxw,"""McCarold's""",Côte-des-Neiges,"""5400 Chemin de la Côte-des-Neiges""",Montréal,QC,H3T 1Y5,45.4967856,-73.6236149,3.5,50,1,Bars;Nightlife;Burgers;Irish;Beer;Wine & Spirits;Pubs;Food;Irish Pub;Restaurants
1131,nEmEaEtnkFO7VW25e2ZDsQ,"""Downtown Deli""",Downtown Core,"""4 Temperance Street""",Toronto,ON,M5H 1Y4,43.6510992,-79.3791616,3.5,9,1,Burgers;Restaurants;Delis
1137,E1WG9lbypCMKlKhAjzWRsQ,"""520 BBQ House""",Milliken,"""3290 Midland Avenue, Unit 1""",Toronto,ON,M1V 3Z9,43.8064588,-79.2894695,3.5,6,1,Barbeque;Restaurants;Chinese
1146,Fbycyr3KEjDQ4wO9AStmvQ,"""Cafe Sam""",Bloomfield,"""5242 Baum Blvd""",Pittsburgh,PA,15224,40.456227,-79.940241,4.0,70,1,American (New);Restaurants
1159,LCb2moBNkcBto_32rmZJ5A,"""Echo Sushi""",Mount Pleasant and Davisville,"""2036 Yonge Street""",Toronto,ON,M4S 1Z9,43.7012899,-79.3972257,4.0,147,1,Buffets;Japanese;Sushi Bars;Restaurants
1188,IDW4QFw-fN_wk81G9OV-Mg,"""Nothing But Noodles""",Elizabeth,"""1605 Elizabeth Ave""",Charlotte,NC,28204,35.213744,-80.8262381,4.0,75,1,Asian Fusion;Chinese;American (Traditional);Noodles;Italian;Fast Food;Salad;Food;Gluten-Free;Desserts;Restaurants
1195,j4jsgp-e315s11ehJfRzAA,"""The Carlton""",Downtown,"""500 Grant St""",Pittsburgh,PA,15219,40.4396782,-79.9959316,3.5,82,1,Restaurants;Steakhouses;Seafood;Diners;American (Traditional)
1201,OFw59czUoeeosFMKfRawmg,"""Gordon Biersch Brewery Restaurant""",Eastside,"""3987 Paradise Rd""",Las Vegas,NV,89169,36.1170027,-115.1552488,3.5,352,1,Nightlife;Breweries;Restaurants;Food;American (New);Bars
1207,4kDLEb1OgE7IrO54lCkn3A,"""Cocina Economica""",Corktown,"""141 Berkeley Street""",Toronto,ON,M5A 2X1,43.6549273753,-79.3654748869,4.0,117,1,Mexican;Restaurants;Latin American
1211,SucJwTrxbA0ko8V0HddGzg,"""Thai Chef Cuisine""",Roncesvalles,"""233 Roncesvalles Avenue""",Toronto,ON,M6R 2L6,43.6461824,-79.4488725,3.5,31,1,Restaurants;Thai
1218,sp0kp2ZWmO0a6CcK-SGd-Q,"""Mon Nan""",Ville-Marie,"""43 Rue De La Gauchetiere E""",Montréal,QC,H2X 1P4,45.5085805,-73.559655,3.5,34,1,Chinese;Restaurants
1239,7KkgMcbVaetryW1wwpzvvA,"""Cafe Rio""",Northwest,"""5765 Centennial Center Blvd""",Las Vegas,NV,89149,36.26483,-115.257743,3.5,153,1,Restaurants;Mexican
